ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OMN,Oman,11.222,11.594,11.893,13.225,15.053,15.719,14.883,15.248,16.3,20.558,21.535,20.106,25.234,32.027,27.591,29.467,39.046,43.97,42.111,40.515,46.75,53.263,58.691,61.121,60.41,61.604,60.033,65.511,71.03,71.685
PAK,Pakistan,67.828,67.478,72.015,77.177,84.019,83.615,93.537,93.788,96.742,99.39,105.418,107.126,112.904,117.491,129.959,134.756,143.727,155.844,155.356,155.219,154.145,154.659,153.876,150.451,154.291,170.175,203.146,232.425,247.425,248.844
PLW,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSE,Palestine,0.861,0.883,0.916,0.934,0.967,0.945,1.037,0.865,1.462,1.367,1.66,1.348,1.154,1.279,2.195,2.741,2.264,2.323,2.052,2.088,2.034,2.246,2.198,2.437,2.836,3.004,3.232,3.268,3.22,3.303
PAN,Panama,2.633,3.105,4.112,3.786,4.178,3.654,4.447,4.63,5.9,5.621,5.728,6.955,5.811,6.09,5.712,6.741,7.367,7.196,7.314,8.419,9.073,9.952,9.768,11.366,10.856,10.877,10.463,11.962,12.096,12.503
PNG,Papua New Guinea,2.154,2.169,2.191,2.191,2.18,2.059,2.187,2.576,2.862,2.444,2.664,3.206,3.484,3.942,4.485,4.382,4.305,6.115,4.793,5.089,4.661,5.225,4.976,5.331,6.049,6.364,6.679,6.548,6.786,7.087
PRY,Paraguay,2.136,2.103,2.58,2.914,3.404,3.937,3.719,4.128,4.384,4.376,3.606,3.696,3.857,4.031,4.061,3.78,3.909,4.042,4.278,4.532,5.022,5.199,5.173,5.172,5.458,6.051,7.154,8.015,8.103,8.272
PER,Peru,21.367,20.724,20.956,23.852,23.72,24.628,24.184,27.246,27.572,29.147,30.078,26.929,26.931,26.105,31.556,36.733,28.263,34.524,40.669,51.207,57.151,48.959,54.156,42.929,49.053,48.696,52.36,52.489,54.21,54.533
PHL,Philippines,41.349,43.471,48.294,48.929,54.123,59.949,61.254,70.063,68.253,68.177,72.346,70.305,70.155,70.215,72.771,73.271,66.522,70.764,77.3,76.493,82.951,83.744,88.407,95.793,101.182,112.142,122.237,134.519,138.924,144.263
POL,Poland,376.547,373.793,364.678,365.371,360.417,362.761,377.408,367.385,339.133,329.167,317.338,313.648,306.403,319.406,324.146,323.161,337.038,336.368,330.145,316.608,334.607,333.952,326.348,322.225,309.921,313.099,324.011,337.34,337.706,322.626
PRT,Portugal,45.083,46.96,50.889,49.392,50.246,54.451,51.703,54.598,59.138,66.763,65.527,65.149,69.556,64.419,67.255,69.484,64.768,62.28,59.973,57.2,52.989,51.793,49.963,48.162,47.948,52.294,50.456,54.72,51.482,48.598
PRI,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,11.744,17.645,26.997,30.985,30.704,31.717,32.204,37.394,32.271,31.271,34.566,41.215,40.702,41.299,42.71,50.69,63.196,62.899,64.257,68.597,71.92,79.648,92.303,82.698,105.98,105.756,102.173,105.569,109.245,109.345
ROU,Romania,169.286,139.37,131.072,122.832,121.961,127.033,130.096,121.075,107.562,90.778,95.456,100.357,101.735,105.295,104.27,102.694,105.083,108.44,105.535,86.024,84.29,89.518,86.256,76.876,77.432,77.726,75.813,78.077,76.951,75.084
RUS,Russia,2525.294,2395.978,1957.659,1859.46,1641.399,1612.928,1580.161,1475.157,1458.157,1486.09,1471.052,1507.501,1495.484,1525.39,1530.474,1547.376,1606.313,1604.324,1636.694,1528.765,1612.885,1664.953,1679.866,1619.173,1622.349,1622.861,1618.304,1646.18,1691.36,1678.367
RWA,Rwanda,0.523,0.472,0.479,0.482,0.461,0.454,0.465,0.482,0.481,0.502,0.52,0.521,0.52,0.508,0.515,0.515,0.514,0.542,0.528,0.558,0.573,0.647,0.718,0.782,0.813,0.926,1.047,1.051,1.08,1.111
SHN,Saint Helena,0.007,0.007,0.007,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
KNA,Saint Kitts and Nevis,0.106,0.106,0.11,0.114,0.121,0.128,0.132,0.143,0.15,0.161,0.172,0.176,0.198,0.198,0.213,0.198,0.202,0.216,0.216,0.224,0.22,0.231,0.22,0.224,0.231,0.234,0.238,0.242,0.249,0.242
LCA,Saint Lucia,0.161,0.169,0.15,0.231,0.256,0.308,0.322,0.304,0.293,0.333,0.348,0.348,0.289,0.37,0.37,0.337,0.366,0.293,0.3,0.33,0.366,0.333,0.33,0.308,0.348,0.359,0.333,0.352,0.362,0.353
SPM,Saint Pierre and Miquelon,0.092,0.103,0.095,0.073,0.07,0.07,0.07,0.048,0.055,0.055,0.055,0.055,0.059,0.066,0.062,0.066,0.066,0.066,0.066,0.066,0.07,0.07,0.07,0.073,0.077,0.077,0.077,0.077,0.079,0.077
VCT,Saint Vincent and the Grenadines,0.081,0.084,0.084,0.103,0.121,0.128,0.132,0.132,0.161,0.165,0.147,0.18,0.187,0.198,0.22,0.22,0.216,0.26,0.191,0.311,0.22,0.198,0.253,0.209,0.275,0.213,0.253,0.256,0.264,0.257
WSM,Samoa,0.103,0.106,0.11,0.11,0.114,0.117,0.125,0.128,0.132,0.136,0.143,0.147,0.147,0.154,0.15,0.161,0.165,0.172,0.18,0.187,0.187,0.202,0.198,0.198,0.209,0.234,0.245,0.256,0.268,0.285
STP,Sao Tome and Principe,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.051,0.059,0.066,0.073,0.077,0.084,0.084,0.084,0.092,0.099,0.103,0.114,0.114,0.114,0.114,0.121,0.125,0.126,0.129
SAU,Saudi Arabia,185.485,267.386,285.074,313.327,307.473,234.712,258.264,215.797,207.231,225.976,296.353,296.575,325.681,326.517,394.585,395.855,431.292,386.507,432.336,465.844,517.716,497.659,563.179,540.805,601.896,645.409,565.751,579.417,576.758,582.15
SEN,Senegal,3.139,3.378,3.423,3.538,3.837,3.429,3.663,3.182,3.333,3.604,3.901,4.258,4.437,4.926,5.238,5.54,4.422,4.863,4.739,4.713,7.28,7.819,7.363,7.854,8.796,9.846,9.859,9.364,9.69,9.823
SRB,Serbia,56.448,39.984,43.684,38.096,37.04,39.141,45.825,49.265,51.882,35.791,44.95,49.266,52.147,55.716,60.212,51.634,60.861,59.63,51.68,45.858,45.696,48.957,43.724,44.546,37.189,43.747,45.036,45.483,46.053,54.667
SYC,Seychelles,0.15,0.172,0.172,0.183,0.202,0.198,0.234,0.341,0.432,0.509,0.572,0.634,0.539,0.55,0.736,0.689,0.733,0.641,0.692,0.524,0.443,0.326,0.421,0.33,0.487,0.48,0.594,0.586,0.605,0.623
SLE,Sierra Leone,0.539,0.601,0.451,0.454,0.48,0.249,0.293,0.224,0.256,0.147,0.388,0.418,0.535,0.568,0.553,0.462,0.616,0.517,0.535,0.535,0.575,0.744,0.861,1.033,1.14,0.905,0.931,0.938,0.988,1.027
SGP,Singapore,44.291,45.049,48.213,50.871,61.345,41.842,49.349,58.072,48.356,49.871,48.856,49.442,47.173,49.497,46.859,36.468,43.045,47.518,57.572,90.098,56.62,30.272,48.145,54.366,55.209,62.13,40.275,39.066,38.288,38.945
SXM,Sint Maarten (Dutch part),0.545,0.435,0.358,0.553,0.53,0.525,0.491,0.514,0.028,0.213,0.564,0.574,0.554,0.554,0.581,0.576,0.6,0.676,0.65,0.665,0.458,0.585,0.696,0.714,0.733,0.755,0.762,0.751,0.773,0.753
SVK,Slovakia,61.633,53.438,49.029,46.484,43.879,44.322,44.186,44.314,44.073,43.201,41.289,43.378,42.112,42.438,42.925,42.911,42.687,41.095,41.503,37.755,38.523,38.112,36.021,35.578,33.654,34.484,34.922,36.087,36.088,33.315
SVN,Slovenia,15.094,14.001,14.007,14.303,14.643,15.254,15.917,16.245,15.961,15.337,15.445,16.378,16.525,16.289,16.651,16.948,17.143,17.281,18.22,16.33,16.376,16.36,15.822,15.189,13.532,13.618,14.417,14.265,14.488,13.696
SLB,Solomon Islands,0.147,0.158,0.161,0.172,0.183,0.191,0.198,0.205,0.216,0.216,0.224,0.234,0.245,0.256,0.275,0.282,0.289,0.3,0.308,0.319,0.33,0.344,0.348,0.374,0.33,0.293,0.289,0.286,0.298,0.318
SOM,Somalia,0.73,0.707,0.68,0.639,0.628,0.588,0.568,0.539,0.513,0.491,0.48,0.502,0.586,0.594,0.594,0.594,0.594,0.608,0.601,0.597,0.612,0.612,0.608,0.63,0.63,0.63,0.638,0.638,0.658,0.678
ZAF,South Africa,312.972,326.069,301.368,320.39,338.625,361.641,363.673,385.458,377.312,374.83,378.255,371.517,356.357,404.173,449.079,415.925,446.623,464.8,494.642,502.259,466.93,473.949,461.139,455.866,481.885,451.59,460.043,466.103,472.001,478.608
KOR,South Korea,247.438,262.038,282.194,321.838,344.264,373.992,401.53,427.786,363.548,398.325,445.441,448.551,463.628,462.407,478.606,459.346,465.606,493.353,505.783,506.764,565.961,588.404,583.632,591.54,586.548,595.394,617.96,620.61,634.934,611.263
SSD,South Sudan,0.434,0.406,0.363,0.251,0.344,0.356,0.367,0.45,0.39,0.423,0.46,0.529,0.674,0.753,0.952,0.912,0.999,1.173,1.239,1.291,1.313,1.281,1.33,1.447,1.535,1.942,1.726,1.491,1.54,1.585
ESP,Spain,231.214,240.953,249.813,241.195,253.661,267.417,254.795,267.306,276.022,299.499,311.267,313.12,333.38,337.589,354.486,369.492,360.579,368.433,336.624,297.241,283.725,284.544,278.851,252.764,255.1,271.687,260.76,274.671,269.654,252.683
LKA,Sri Lanka,3.829,4.137,5.106,4.976,5.436,5.815,6.97,7.52,7.736,8.518,10.134,10.327,10.947,10.952,12.146,11.935,11.794,12.151,11.988,12.943,13.05,14.887,15.798,14.678,17.69,19.83,23.028,22.984,22.973,24.841
SDN,Sudan,4.769,4.466,3.989,2.746,3.785,3.903,4.028,4.94,4.285,4.645,5.055,5.817,7.418,8.285,10.471,10.028,10.984,12.905,13.634,14.189,14.398,14.017,14.539,16.175,16.645,20.163,19.311,21.715,22.372,22.981
SUR,Suriname,1.738,2.024,2.031,2.038,2.042,2.06,2.082,2.104,2.104,2.122,2.192,2.363,1.561,1.538,1.556,1.589,1.739,1.757,1.936,1.995,2.395,2.18,2.636,2.745,2.836,2.733,2.326,2.52,2.552,2.606
SWE,Sweden,57.349,57.707,57.451,57.493,59.954,59.366,63.303,58.213,58.697,55.82,54.684,55.617,56.573,57.161,56.476,53.853,53.674,52.941,50.856,47.231,53.042,49.167,46.692,45.086,43.338,43.337,42.973,42.307,41.766,42.767
CHE,Switzerland,44.154,46.134,46.01,43.601,42.676,43.413,44.099,43.037,44.615,44.446,43.618,45.082,43.468,44.652,45.236,45.788,45.374,43.368,44.714,43.535,45.05,40.986,42.255,43.186,39.234,38.733,39.193,38.182,36.895,37.682
SYR,Syria,37.045,42.201,42.561,45.222,46.19,41.2,42.322,45.377,49.758,51.771,50.482,48.141,38.439,53.581,50.385,49.881,52.84,65.718,66.877,61.562,60.716,56.139,43.79,35.809,30.112,28.675,28.508,26.401,25.878,26.961
TWN,Taiwan,120.44,130.616,139.136,152.172,157.875,165.648,173.728,186.936,197.652,205.314,221.92,224.03,235.36,241.63,250.259,255.804,248.964,273.734,260.073,246.907,264.82,266.485,255.477,257.708,261.243,257.156,265.284,272.45,273.105,262.639
TJK,Tajikistan,10.133,9.122,7.295,5.161,2.347,2.443,2.822,2.149,2.494,2.516,2.232,2.285,1.873,2.062,2.547,2.421,2.634,3.204,2.882,2.431,2.51,2.316,2.904,2.869,4.485,5.163,6.305,6.873,7.473,8.98
TZA,Tanzania,2.111,2.254,2.176,2.425,2.064,2.434,2.527,2.823,2.481,2.458,2.571,3.04,3.487,3.686,4.232,5.36,5.879,5.71,5.915,5.771,6.925,7.752,9.062,9.908,9.9,10.638,10.535,11.019,11.502,11.626
THA,Thailand,87.917,96.746,106.094,121.213,134.507,156.636,173.729,179.06,159.239,166.143,170.698,182.484,192.054,203.237,218.514,224.346,227.717,230.762,228.116,243.279,256.422,253.801,270.175,286.069,279.994,283.293,281.705,286.336,292.453,288.28
TLS,Timor,,,,,,,,,,,,,0.161,0.161,0.176,0.176,0.18,0.183,0.202,0.227,0.234,0.245,0.293,0.443,0.513,0.502,0.495,0.498,0.52,0.554
TGO,Togo,0.973,1.048,1.031,1.069,1.005,1.175,1.265,0.879,1.29,1.85,1.331,1.159,1.322,1.805,1.744,1.722,1.501,1.517,1.523,2.741,2.596,2.504,2.216,2.129,2.238,2.686,3.098,3.049,3.167,3.261
TON,Tonga,0.077,0.095,0.07,0.084,0.092,0.095,0.077,0.099,0.088,0.11,0.095,0.088,0.103,0.117,0.11,0.114,0.128,0.114,0.121,0.132,0.117,0.103,0.106,0.114,0.114,0.121,0.128,0.158,0.165,0.175
TTO,Trinidad and Tobago,16.983,16.968,19.104,17.412,17.023,16.46,20.768,20.56,19.751,22.466,24.191,26.57,28.591,32.25,32.574,37.943,42.414,45.236,44.095,44.219,46.959,46.679,45.556,45.236,46.345,45.121,40.052,39.968,37.866,37.864
TUN,Tunisia,13.127,15.363,14.892,16.354,15.776,15.549,16.581,16.748,17.809,18.12,19.67,20.545,20.559,20.925,21.927,22.269,22.602,23.684,24.333,24.322,27.103,25.524,26.306,26.866,27.892,29.275,29.008,29.62,30.357,31.013
TUR,Turkey,151.508,157.982,163.922,171.011,167.433,180.903,199.522,212.006,212.04,207.804,229.791,213.486,220.978,236.484,244.464,264.201,281.649,312.737,309.321,315.36,314.38,339.482,353.666,345.221,361.675,381.332,401.24,425.329,419.195,405.126
TKM,Turkmenistan,41.162,35.617,31.995,27.518,33.443,33.932,30.604,30.556,32.025,37.605,37.466,38.0,39.89,44.52,46.447,48.232,49.372,55.89,56.666,50.171,57.109,62.182,64.533,66.374,68.032,70.231,70.164,70.193,78.035,85.647
TCA,Turks and Caicos Islands,0.029,0.029,0.033,0.04,0.044,0.048,0.048,0.055,0.059,0.066,0.07,0.073,0.099,0.103,0.103,0.121,0.143,0.165,0.172,0.18,0.183,0.183,0.183,0.187,0.198,0.205,0.216,0.231,0.238,0.231
TUV,Tuvalu,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.011,0.011,0.011,0.011,0.007,0.011,0.011,0.011,0.007,0.007,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012
UGA,Uganda,0.762,0.78,0.798,0.798,0.708,0.926,1.018,1.061,1.209,1.254,1.361,1.418,1.446,1.512,1.607,2.018,2.383,2.71,2.78,3.0,3.57,3.824,3.627,3.755,4.097,4.522,4.805,5.226,5.385,5.531
UKR,Ukraine,705.83,632.537,589.06,510.2,419.266,389.865,351.409,340.243,328.579,298.204,285.337,303.559,295.673,307.017,310.363,313.118,332.67,336.364,325.533,277.294,294.078,307.953,303.953,297.294,257.585,223.912,234.2,223.232,231.694,223.229
ARE,United Arab Emirates,51.703,56.672,57.758,65.565,72.605,70.013,72.775,73.101,80.682,77.543,111.788,100.592,83.698,105.618,111.802,114.477,121.737,133.264,153.969,165.5,155.977,169.175,217.362,221.836,215.906,239.671,228.583,186.623,188.541,190.683
GBR,United Kingdom,600.479,608.579,593.093,578.842,575.108,566.811,588.444,562.561,567.814,560.952,567.504,576.195,560.301,571.771,573.216,569.927,567.528,559.249,544.812,494.294,512.024,469.804,487.796,477.901,439.058,422.491,399.11,388.088,380.139,369.878
USA,United States,5128.301,5078.89,5182.707,5283.438,5377.033,5438.906,5626.912,5703.707,5751.052,5830.298,5998.07,5900.437,5942.652,5991.96,6107.618,6131.893,6051.051,6128.43,5930.54,5491.036,5698.056,5565.294,5367.569,5514.029,5561.719,5412.432,5292.268,5253.606,5424.882,5284.697
URY,Uruguay,3.967,4.527,5.143,4.439,4.03,4.559,5.404,5.513,5.64,6.681,5.267,5.031,4.558,4.528,5.564,5.726,6.596,5.947,8.201,7.947,6.297,7.654,8.593,7.494,6.656,6.655,6.525,6.174,6.252,6.378
UZB,Uzbekistan,109.939,112.756,110.984,115.617,107.98,102.664,105.546,106.63,118.499,121.739,120.994,122.586,127.518,125.936,125.118,116.576,119.365,119.113,123.039,106.252,103.343,112.822,114.924,109.323,103.495,101.791,105.222,109.282,113.938,110.246
VUT,Vanuatu,0.066,0.066,0.062,0.062,0.062,0.066,0.084,0.084,0.081,0.084,0.084,0.088,0.084,0.084,0.059,0.059,0.048,0.099,0.095,0.121,0.121,0.132,0.114,0.106,0.154,0.132,0.147,0.139,0.145,0.155
VEN,Venezuela,121.822,115.052,105.578,123.968,129.531,132.875,122.34,133.484,166.802,172.562,151.871,171.974,192.746,191.457,151.268,163.823,160.16,149.924,168.69,169.572,184.083,170.4,190.974,182.85,184.136,170.899,163.191,146.673,129.596,116.688
VNM,Vietnam,21.2,21.263,21.324,22.711,26.019,28.523,34.023,44.309,46.555,46.658,52.332,59.529,68.661,76.277,87.8,94.859,99.13,100.577,113.244,122.833,136.113,145.048,135.686,140.893,159.583,184.436,185.432,182.584,211.774,247.709
WLF,Wallis and Futuna Islands,,,,,,,,,,,,0.015,0.026,0.026,0.026,0.029,0.029,0.029,0.022,0.029,0.029,0.026,0.026,0.022,0.022,0.022,0.026,0.026,0.027,0.029
YEM,Yemen,9.521,9.129,9.874,8.626,8.983,10.352,10.527,11.316,12.064,13.725,14.474,16.017,15.554,17.082,18.646,19.795,21.085,20.719,22.025,24.251,23.152,20.191,18.268,24.977,24.185,13.006,10.426,10.107,9.945,10.255
ZMB,Zambia,2.406,2.382,2.424,2.467,2.393,2.141,1.837,2.354,2.279,1.778,1.785,1.885,1.96,2.076,2.104,2.242,2.232,1.868,2.106,2.406,2.563,2.781,3.489,3.756,4.256,4.296,4.838,6.52,6.93,6.72
ZWE,Zimbabwe,15.569,15.865,16.917,16.259,17.684,15.029,14.891,14.294,14.14,15.728,13.818,12.509,11.897,10.608,9.429,10.7,10.365,9.834,7.719,5.476,7.864,9.48,7.659,11.617,11.973,12.17,10.815,10.247,11.341,10.374
